i;procs;n_obj;max_weight;max_value;total_time
1;5;4000;100000;4915135;3,67508
2;5;4000;100000;4915135;3,66388
3;5;4000;100000;4915135;3,71333
4;5;4000;100000;4915135;3,67586
5;5;4000;100000;4915135;3,76653
6;5;4000;100000;4915135;3,66819
7;5;4000;100000;4915135;3,69249
8;5;4000;100000;4915135;3,62965
9;5;4000;100000;4915135;3,56848
10;5;4000;100000;4915135;3,63826
11;5;4000;100000;4915135;3,62592
12;5;4000;100000;4915135;3,71094
13;5;4000;100000;4915135;3,63197
14;5;4000;100000;4915135;3,58824
15;5;4000;100000;4915135;3,6185
16;5;4000;100000;4915135;3,60836
17;5;4000;100000;4915135;3,56905
18;5;4000;100000;4915135;3,64037
19;5;4000;100000;4915135;3,56611
20;5;4000;100000;4915135;3,60282
